Time - Force	Amplitude - Force
743,5m	-0,1
744,1m	-0,1
744,7m	-0,1
745,3m	-0,1
745,9m	-0,1
746,5m	-0,1
747,1m	-0,1
747,8m	-0,1
748,4m	-0,1
749,0m	-0,1
749,6m	-0,1
750,2m	-0,1
750,8m	-0,1
751,4m	-0,1
752,0m	-0,1
752,6m	-0,1
753,2m	-0,1
753,8m	-0,1
754,4m	-0,1
755,0m	-0,1
755,6m	-0,1
756,2m	-0,1
756,8m	-0,1
757,4m	-0,1
758,0m	-0,1
758,7m	-0,1
759,3m	-0,1
759,9m	-0,1
760,5m	-0,1
761,1m	-0,1
761,7m	-0,1
762,3m	-0,1
762,9m	-0,1
763,5m	-0,1
764,1m	-0,1
764,7m	-0,1
765,3m	-0,1
765,9m	-0,1
766,5m	-0,1
767,1m	-0,1
767,7m	-0,1
768,3m	-0,1
768,9m	-0,1
769,6m	-0,1
770,2m	-0,1
770,8m	-0,1
771,4m	-0,1
772,0m	-0,1
772,6m	-0,1
773,2m	-0,1
773,8m	-0,1
774,4m	-0,1
775,0m	-0,1
775,6m	-0,1
776,2m	-0,1
776,8m	-0,1
777,4m	-0,1
778,0m	-0,1
778,6m	-0,1
779,2m	-0,1
779,8m	-0,1
780,4m	-0,1
781,1m	-0,1
781,7m	-0,1
782,3m	-0,1
782,9m	-0,1
783,5m	-0,1
784,1m	-0,1
784,7m	-0,1
785,3m	-0,1
785,9m	-0,1
786,5m	-0,1
787,1m	-0,1
787,7m	-0,1
788,3m	-0,1
788,9m	-0,1
789,5m	-0,1
790,1m	-0,1
790,7m	-0,1
791,3m	-0,1
792,0m	-0,1
792,6m	-0,1
793,2m	-0,1
793,8m	-0,1
794,4m	-0,1
795,0m	-0,1
795,6m	-0,1
796,2m	-0,1
796,8m	-0,1
797,4m	-0,1
798,0m	-0,1
798,6m	-0,1
799,2m	-0,1
799,8m	-0,1
800,4m	-0,1
801,0m	-0,1
801,6m	-0,1
802,2m	-0,1
802,9m	-0,1
803,5m	-0,1
804,1m	-0,1
804,7m	-0,1
805,3m	-0,1
805,9m	-0,1
806,5m	-0,1
807,1m	-0,1
807,7m	-0,1
808,3m	-0,1
808,9m	-0,1
809,5m	-0,1
810,1m	-0,1
810,7m	-0,1
811,3m	-0,1
811,9m	-0,1
812,5m	-0,1
813,1m	-0,1
813,7m	-0,1
814,4m	-0,1
815,0m	-0,1
815,6m	-0,1
816,2m	-0,1
816,8m	-0,1
817,4m	-0,1
818,0m	-0,1
818,6m	-0,1
819,2m	-0,1
819,8m	-0,1
820,4m	-0,1
821,0m	-0,1
821,6m	-0,1
822,2m	-0,1
822,8m	-0,1
823,4m	-0,1
824,0m	-0,1
824,6m	-0,1
825,3m	-0,1
825,9m	-0,1
826,5m	-0,1
827,1m	-0,1
827,7m	-0,1
828,3m	-0,1
828,9m	-0,1
829,5m	-0,1
830,1m	-0,1
830,7m	-0,1
831,3m	-0,1
831,9m	-0,1
832,5m	-0,1
833,1m	-0,1
833,7m	-0,1
834,3m	-0,1
834,9m	-0,1
835,5m	-0,1
836,2m	-0,1
836,8m	-0,1
837,4m	-0,1
838,0m	-0,1
838,6m	-0,1
839,2m	-0,1
839,8m	-0,1
840,4m	-0,1
